2020-08-20 15:59:59,729 - Starting up
2020-08-20 16:47:30,174 - Starting up
2020-08-20 16:50:54,411 - Starting up
2020-08-20 16:53:36,766 - Starting up
2020-08-20 16:53:59,259 - Starting up
2020-08-20 17:02:30,481 - Starting up
2020-08-20 17:03:36,002 - Starting up
2020-08-20 17:04:11,307 - Starting up
2020-08-20 17:04:49,056 - Starting up
2020-08-20 17:06:14,544 - Starting up
2020-08-20 17:07:37,068 - Starting up
2020-08-20 17:12:03,886 - Starting up
2020-08-20 17:32:45,667 - Starting up
2020-08-21 08:23:10,888 - Starting up
2020-08-21 10:30:48,113 - Starting up
2020-08-25 08:26:20,833 - Starting up
2020-08-25 08:26:50,952 - Starting up
2020-08-25 08:42:43,135 - Starting up
2020-08-25 08:43:34,698 - Starting up
2020-08-25 08:45:20,072 - Starting up
2020-08-25 08:45:25,981 - Starting up
2020-08-25 08:47:53,570 - Starting up
2020-08-25 08:50:23,971 - Starting up
2020-08-25 08:51:25,541 - Starting up
2020-08-25 08:51:29,416 - Starting up
2020-08-25 08:52:47,820 - Starting up
2020-08-25 08:55:32,978 - Starting up
2020-08-25 09:00:08,774 - Starting up
2020-08-25 09:07:37,414 - Starting up
2020-08-25 09:09:37,651 - Starting up
2020-08-25 11:40:01,315 - Starting up
2020-08-25 11:41:15,350 - Starting up
2020-08-25 11:41:29,160 - Starting up
2020-08-25 11:43:07,261 - Starting up
2020-08-25 11:45:26,030 - Starting up
2020-08-25 15:01:02,004 - Starting up
2020-08-25 15:01:11,761 - Starting up
2020-08-25 18:59:47,544 - Starting up
2020-08-25 19:27:49,931 - Starting up
2020-08-26 07:19:25,481 - Starting up
2020-08-26 07:34:01,123 - Starting up
2020-08-26 07:35:21,220 - Starting up
2020-08-26 08:25:30,405 - Starting up
2020-08-26 19:49:43,497 - Starting up
2020-08-26 19:51:35,736 - Starting up
2020-08-26 19:53:08,241 - Starting up
2020-08-27 08:22:45,551 - Starting up
2020-08-30 18:42:45,036 - Starting up
2020-08-30 18:44:48,161 - Starting up
2020-08-30 18:55:12,978 - Starting up
2020-08-30 18:55:27,744 - Starting up
2020-08-30 18:57:30,178 - Starting up
2020-08-30 18:58:40,145 - Starting up
2020-08-30 18:58:53,978 - Starting up
2020-08-30 18:59:56,829 - Starting up
2020-08-30 19:00:22,695 - Starting up
2020-08-30 19:01:28,762 - Starting up
2020-08-30 19:02:29,995 - Starting up
2020-08-30 19:02:47,645 - Selling IOTAUSD
2020-08-30 19:08:35,562 - Starting up
2020-08-30 19:09:52,178 - Starting up
2020-08-30 19:43:14,526 - Starting up
2020-08-30 19:43:36,952 - Buying NEOUSD
2020-08-30 19:43:41,348 - Buying OMGUSD
2020-08-30 19:45:25,512 - Starting up
2020-08-30 19:45:46,964 - Buying NEOUSD
2020-08-30 19:45:51,186 - Buying OMGUSD
2020-08-30 19:47:20,203 - Starting up
2020-08-30 19:47:56,132 - Buying NEOUSD
2020-08-30 19:48:53,931 - Starting up
2020-08-30 19:49:17,423 - Starting up
2020-08-30 19:49:39,108 - Buying NEOUSD
2020-08-30 19:51:07,364 - Starting up
2020-08-30 19:52:02,838 - Starting up
2020-08-30 19:53:32,135 - Starting up
2020-09-02 12:34:32,428 - Starting up
2020-09-02 12:34:42,828 - Selling EOSUSD
2020-09-02 14:52:24,533 - Starting up
2020-09-02 14:52:34,525 - Selling EOSUSD
2020-09-02 14:52:43,852 - Selling LTCUSD
2020-09-02 14:52:51,212 - Selling QTUMUSD
2020-09-02 15:01:24,747 - Starting up
2020-09-03 01:22:58,918 - Selling OMGUSD
2020-09-03 08:35:20,242 - Starting up
2020-09-04 06:50:10,128 - Starting up
2020-09-04 11:39:12,483 - Starting up
2020-09-04 12:05:38,858 - Starting up
2020-09-04 13:47:55,429 - Starting up
2020-09-06 18:03:41,432 - Selling NEOUSD
2020-09-08 08:22:18,568 - Starting up
2020-09-08 11:26:59,827 - Starting up
2020-09-08 14:53:26,698 - Starting up
2020-09-08 18:46:45,506 - Starting up
2020-09-08 18:47:05,039 - Starting up
2020-09-08 18:47:10,740 - Starting up
2020-09-08 18:47:52,373 - Starting up
2020-09-08 19:32:58,214 - Starting up
2020-09-08 19:33:47,861 - Starting up
2020-09-08 19:34:32,533 - Starting up
2020-09-08 19:35:22,281 - Starting up
2020-09-08 19:35:33,590 - Starting up
2020-09-08 19:35:39,538 - Starting up
2020-09-08 19:35:48,080 - Starting up
2020-09-09 12:18:55,559 - Starting up
2020-09-11 12:20:01,844 - Starting up
2020-09-11 12:22:16,184 - Starting up
2020-09-11 12:22:30,525 - Starting up
2020-09-11 12:36:21,148 - Starting up
2020-09-11 12:37:57,113 - Starting up
2020-09-11 12:39:06,068 - Starting up
2020-09-11 12:39:53,102 - Starting up
2020-09-11 12:41:46,236 - Starting up
